City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
292,Itarema,-2.9248,-39.9167,78.87,77,37,15.1,scattered clouds
293,Elbrus,43.2577,42.6443,47.68,89,6,1.81,clear sky
294,Niquero,20.0431,-77.5828,79.92,82,58,7.54,light rain
295,Bathsheba,13.2167,-59.5167,81.21,83,75,12.66,broken clouds
296,Quatre Cocos,-20.2078,57.7625,68.09,76,27,10.85,light rain
297,Noumea,-22.2763,166.4572,80.58,99,0,9.46,clear sky
298,Port Macquarie,-31.4333,152.9167,68.9,46,5,14.29,clear sky
299,Kyabe,9.4515,18.9449,71.55,87,18,3.8,few clouds
300,Ilhabela,-23.7781,-45.3581,64.4,89,11,6.44,few clouds
301,Byron Bay,-28.65,153.6167,71.56,48,0,11.41,clear sky
302,Voh,-20.9667,164.7,82.72,46,5,6.51,clear sky
303,Kamaishi,39.2667,141.8833,83.35,79,76,7.83,broken clouds
304,Cedar City,37.6775,-113.0619,77.97,41,1,6.91,clear sky
305,Vanino,49.0869,140.2543,85.64,58,100,6.24,overcast clouds
306,Half Moon Bay,37.4636,-122.4286,89.42,70,1,1.01,clear sky
307,San Ramon De La Nueva Oran,-23.1322,-64.326,65.34,47,0,1.9,clear sky
308,Tres Arroyos,-38.3739,-60.2798,44.44,85,100,7.29,overcast clouds
309,Norman Wells,65.282,-126.8329,59.04,77,90,9.22,overcast clouds
310,Saldanha,-33.0117,17.9442,41.05,62,0,9.51,clear sky
311,Port Hedland,-20.3167,118.5667,77.05,25,4,17.27,clear sky
312,Grand Gaube,-20.0064,57.6608,68.38,76,39,5.99,scattered clouds
313,Kenai,60.5544,-151.2583,64.49,75,90,5.75,overcast clouds
314,Comodoro Rivadavia,-45.8667,-67.5,46.26,49,0,14.97,clear sky
315,Ihosy,-22.4,46.1167,56.73,90,78,6.06,broken clouds
316,Horsham,51.064,-0.3272,63.72,77,20,10.36,light rain
317,Ozernovskiy,51.5,156.5167,57.67,83,99,9.62,overcast clouds
318,Tuy Hoa,13.0833,109.3,88.9,56,90,14.9,overcast clouds
319,Kavaratti,10.5669,72.642,82.02,82,100,20.13,overcast clouds
320,Seara,41.1818,-7.8003,60.87,86,46,3.02,scattered clouds
321,Changji,44.0167,87.3167,84.99,30,0,11.18,clear sky
322,Olafsvik,64.8945,-23.7142,52.59,98,100,10.85,light rain
323,Hami,42.8,93.45,85.86,45,62,15.12,broken clouds
324,Cayenne,4.9333,-52.3333,81.09,81,0,3.0,clear sky
325,Machico,32.7,-16.7667,70.88,75,40,11.5,scattered clouds
326,Saint-Prosper,46.2117,-70.4811,62.89,82,54,1.34,broken clouds
327,Manching,48.7166,11.4939,61.47,83,24,6.91,few clouds
328,Marzuq,14.4,46.4667,69.69,84,100,6.44,overcast clouds
329,Moerai,-22.4333,-151.3333,72.19,64,100,10.58,overcast clouds
330,Altay,47.8667,88.1167,77.95,45,60,1.7,broken clouds
331,Klyuchi,52.2667,79.1667,69.55,71,100,3.09,overcast clouds
332,North Bend,43.4065,-124.2243,71.92,72,1,20.71,clear sky
333,Beni,0.5,29.4667,63.36,93,88,0.98,overcast clouds
334,Buenos Aires,-34.6132,-58.3772,63.01,76,0,4.61,clear sky
335,Rio Gallegos,-51.6226,-69.2181,35.65,80,0,11.5,clear sky
336,Stornoway,58.2093,-6.3865,57.92,93,85,1.14,overcast clouds
337,Winslow,35.0242,-110.6974,73.58,73,90,17.27,moderate rain
338,Altamura,40.8292,16.5537,73.56,52,0,1.99,clear sky
339,Abu Samrah,35.3029,37.1841,73.33,76,0,6.91,clear sky
340,Sault Sainte Marie,46.5168,-84.3333,72.16,77,75,6.91,broken clouds
