City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Kropotkin,RU,2021-07-23 01:11:53,45.4375,40.5756,66.92,91,100,7.7
131,Baculin,PH,2021-07-23 01:11:53,7.4525,126.5842,87.4,56,8,2.39
132,Katherine,AU,2021-07-23 01:11:54,-14.4667,132.2667,79.12,44,24,8.05
133,Luwuk,ID,2021-07-23 01:11:54,-0.9516,122.7875,78.71,86,93,4.97
134,Labuan,MY,2021-07-23 01:11:54,5.2767,115.2417,82.56,79,100,8.79
135,Hokitika,NZ,2021-07-23 01:11:55,-42.7167,170.9667,49.64,73,96,0.6
136,Ulaangom,MN,2021-07-23 01:11:55,49.9811,92.0667,79.18,32,100,4.34
137,Lodja,CD,2021-07-23 01:11:55,-3.4833,23.4333,74.46,33,99,2.59
138,Aswan,EG,2021-07-23 01:07:38,24.0934,32.907,90.72,31,54,11.23
139,Kavieng,PG,2021-07-23 01:11:56,-2.5744,150.7967,83.57,74,69,12.19
140,Nouadhibou,MR,2021-07-23 01:11:56,20.931,-17.0347,67.42,92,8,19.82
141,Tecuala,MX,2021-07-23 01:11:56,22.3986,-105.4569,85.86,72,79,6.02
142,Muyinga,BI,2021-07-23 01:11:57,-2.8333,30.3333,57.97,53,36,3.4
143,Taiping,MY,2021-07-23 01:11:57,4.85,100.7333,79.38,87,100,1.16
144,Paamiut,GL,2021-07-23 01:11:58,61.994,-49.6678,41.88,94,99,3.04
145,Saint-Augustin,CA,2021-07-23 01:11:58,51.226,-58.6502,49.05,91,100,13.71
146,East London,ZA,2021-07-23 01:11:58,-33.0153,27.9116,52.68,69,95,20.74
147,Yellowknife,CA,2021-07-23 01:11:59,62.456,-114.3525,61.32,100,90,12.66
148,Lerwick,GB,2021-07-23 01:08:10,60.1545,-1.1494,51.8,79,100,6.93
149,Port-Gentil,GA,2021-07-23 01:11:59,-0.7193,8.7815,74.14,79,100,11.63
150,Sumkino,RU,2021-07-23 01:11:59,58.1108,68.3244,69.89,73,0,9.44
151,Northam,GB,2021-07-23 01:12:00,51.0333,-4.2167,69.1,77,100,7.76
152,Sadovo,BG,2021-07-23 01:12:00,42.1333,24.9333,70.5,63,0,4.61
153,Palmer,US,2021-07-23 01:12:01,42.1584,-72.3287,71.2,71,85,2.55
154,Boo,SE,2021-07-23 01:12:01,59.3333,18.2833,61.77,74,20,3.44
155,Nogliki,RU,2021-07-23 01:12:01,51.8333,143.1667,71.38,84,100,5.12
156,Ukiah,US,2021-07-23 01:12:02,39.1502,-123.2078,97.43,22,1,8.05
157,Upernavik,GL,2021-07-23 01:12:02,72.7868,-56.1549,41.0,93,100,1.39
158,Esperance,AU,2021-07-23 01:12:02,-33.8667,121.9,54.88,64,100,23.94
159,Oksfjord,NO,2021-07-23 01:12:03,70.2396,22.3479,45.0,91,100,8.57
160,Veraval,IN,2021-07-23 01:12:03,20.9,70.3667,82.53,86,100,18.72
161,Takoradi,GH,2021-07-23 01:12:03,4.8845,-1.7554,74.71,87,44,8.1
162,Chokurdakh,RU,2021-07-23 01:12:04,70.6333,147.9167,53.01,48,0,8.66
163,Passo De Camaragibe,BR,2021-07-23 01:12:04,-9.2368,-35.4901,74.75,88,0,4.27
164,Bud,US,2021-07-23 01:12:04,39.447,-86.1758,78.78,78,53,5.21
165,Belaya Gora,RU,2021-07-23 01:12:05,68.5333,146.4167,63.12,44,4,7.38
166,Tura,IN,2021-07-23 01:12:05,25.5198,90.2201,77.74,92,38,5.01
167,Kulhudhuffushi,MV,2021-07-23 01:12:05,6.6221,73.07,82.94,76,100,18.54
168,Vila Velha,BR,2021-07-23 01:09:56,-20.3297,-40.2925,64.35,94,40,3.44
169,Guerande,FR,2021-07-23 01:12:06,47.3291,-2.4283,74.62,68,71,14.05
170,Fukue,JP,2021-07-23 01:12:06,32.6881,128.8419,79.84,77,100,10.4
171,Hukuntsi,BW,2021-07-23 01:12:07,-24.0,21.75,33.75,50,0,8.32
172,Olafsvik,IS,2021-07-23 01:12:07,64.8945,-23.7142,52.11,97,100,11.3
173,Tevaitoa,PF,2021-07-23 01:12:08,-16.7833,-151.5,77.63,67,11,13.8
174,Fairbanks,US,2021-07-23 01:12:08,64.8378,-147.7164,82.4,40,1,12.66
175,Prince Rupert,CA,2021-07-23 01:12:08,54.3161,-130.3201,61.79,68,65,8.99
176,Kyshtovka,RU,2021-07-23 01:12:09,56.555,76.6271,65.26,81,0,4.88
177,Kolda,SN,2021-07-23 01:12:09,12.8833,-14.95,76.6,91,7,5.28
178,Los Llanos De Aridane,ES,2021-07-23 01:12:09,28.6585,-17.9182,69.55,84,0,19.57
179,Sibolga,ID,2021-07-23 01:12:09,1.7427,98.7792,79.34,78,100,1.79
180,Tignere,CM,2021-07-23 01:12:10,7.3667,12.65,63.18,98,100,1.99
181,Lasa,IT,2021-07-23 01:08:17,46.6166,10.7002,57.61,84,0,3.31
182,Bredasdorp,ZA,2021-07-23 01:12:10,-34.5322,20.0403,45.43,79,100,3.02
183,Puerto Gaitan,CO,2021-07-23 01:12:11,4.3133,-72.0816,71.96,95,100,5.73
184,Tuktoyaktuk,CA,2021-07-23 01:12:11,69.4541,-133.0374,46.35,83,48,19.04
185,Taoudenni,ML,2021-07-23 01:12:11,22.6783,-3.9836,98.87,19,0,7.54
186,Longyearbyen,SJ,2021-07-23 01:12:12,78.2186,15.6401,42.64,87,75,17.27
187,Torbay,CA,2021-07-23 01:12:12,47.6666,-52.7314,52.57,99,90,11.5
188,Sioux Lookout,CA,2021-07-23 01:12:13,50.1001,-91.917,75.79,59,98,6.53
189,Hamilton,US,2021-07-23 01:12:13,39.1834,-84.5333,74.88,69,1,0.0
190,Weinan,CN,2021-07-23 01:12:13,34.5036,109.5089,82.58,62,100,5.97
191,Tuatapere,NZ,2021-07-23 01:12:14,-46.1333,167.6833,49.82,65,17,5.39
192,Goure,NE,2021-07-23 01:07:41,13.9835,10.2704,78.03,59,100,10.09
193,Pangai,TO,2021-07-23 01:12:14,-19.8,-174.35,77.16,83,43,9.31
194,Changji,CN,2021-07-23 01:12:15,44.0167,87.3167,79.59,38,0,4.47
195,Fortuna,US,2021-07-23 01:12:15,40.5982,-124.1573,85.48,67,20,17.27
196,Kaeo,NZ,2021-07-23 01:12:15,-35.1,173.7833,57.11,81,20,4.63
197,Myitkyina,MM,2021-07-23 01:12:16,25.3833,97.4,80.24,83,80,0.96
198,Ancud,CL,2021-07-23 01:12:16,-41.8697,-73.8203,46.22,86,100,6.91
199,Los Aquijes,PE,2021-07-23 01:12:17,-14.0967,-75.6908,57.87,68,11,0.65
200,Huarmey,PE,2021-07-23 01:12:17,-10.0681,-78.1522,64.54,84,17,8.61
201,El Carrizo,MX,2021-07-23 01:12:18,24.0261,-106.8814,85.57,68,0,5.59
202,Grindavik,IS,2021-07-23 01:12:18,63.8424,-22.4338,55.56,100,90,19.57
203,Soanierana Ivongo,MG,2021-07-23 01:12:18,-16.9167,49.5833,67.95,90,99,2.98
204,Sobolevo,RU,2021-07-23 01:12:19,54.4299,31.8996,52.9,74,4,7.18
205,Hay River,CA,2021-07-23 01:12:19,60.8156,-115.7999,58.96,100,90,8.05
206,Upington,ZA,2021-07-23 01:12:20,-28.4478,21.2561,35.56,47,0,9.86
207,Talcahuano,CL,2021-07-23 01:12:20,-36.7167,-73.1167,47.88,100,100,4.61
208,Vestmannaeyjar,IS,2021-07-23 01:12:20,63.4427,-20.2734,53.2,97,100,20.22
209,Cienfuegos,CU,2021-07-23 01:12:20,22.1461,-80.4356,82.54,74,5,8.05
210,Hit,IQ,2021-07-23 01:12:21,33.6416,42.8251,90.7,36,0,14.09
211,Atlantis,ZA,2021-07-23 01:12:21,-33.5667,18.4834,45.18,92,0,6.42
212,Cordoba,AR,2021-07-23 01:10:04,-31.4135,-64.1811,62.76,44,0,1.99
213,Port Elizabeth,ZA,2021-07-23 01:12:21,-33.918,25.5701,46.09,70,89,15.12
214,Lazaro Cardenas,MX,2021-07-23 01:12:22,17.9583,-102.2,83.61,79,12,7.49
215,Ulaanbaatar,MN,2021-07-23 01:12:22,47.9077,106.8832,62.73,72,0,2.24
216,Saint-Joseph,RE,2021-07-23 01:12:22,-21.3667,55.6167,64.78,74,24,12.24
217,Acapulco,MX,2021-07-23 01:12:23,16.8634,-99.8901,85.82,66,75,9.22
218,Severo-Yeniseyskiy,RU,2021-07-23 01:12:23,60.3725,93.0408,65.41,53,0,2.64
219,Raichur,IN,2021-07-23 01:12:24,16.2,77.3667,73.17,84,100,14.27
220,Neuquen,AR,2021-07-23 01:10:32,-38.9516,-68.0591,39.09,70,0,4.61
221,Kentau,KZ,2021-07-23 01:12:24,43.5206,68.5094,76.8,31,0,4.83
222,Odweyne,SO,2021-07-23 01:12:24,9.4092,45.064,74.14,49,89,21.9
223,Lagoa,PT,2021-07-23 01:12:25,39.05,-27.9833,67.69,77,19,11.18
224,Vardo,NO,2021-07-23 01:12:25,70.3705,31.1107,45.34,81,100,31.32
225,Constitucion,CL,2021-07-23 01:12:25,-35.3333,-72.4167,53.4,84,100,6.71
226,Beloha,MG,2021-07-23 01:12:26,-25.1667,45.05,65.16,83,1,3.36
227,Maniitsoq,GL,2021-07-23 01:12:26,65.4167,-52.9,40.32,98,100,14.88
228,Miracema Do Tocantins,BR,2021-07-23 01:12:26,-9.5618,-48.3967,76.62,40,0,3.83
229,Carutapera,BR,2021-07-23 01:12:27,-1.195,-46.02,75.02,92,10,5.21
230,Komsomolskiy,UZ,2021-07-23 01:12:27,40.4272,71.7189,74.62,40,0,6.91
231,Ponta Do Sol,PT,2021-07-23 01:12:27,32.6667,-17.1,74.03,81,11,7.47
232,Lompoc,US,2021-07-23 01:12:28,34.6391,-120.4579,83.57,76,75,8.01
233,Tamworth,GB,2021-07-23 01:12:28,52.634,-1.6959,68.79,80,87,3.0
234,Kosterevo,RU,2021-07-23 01:12:29,55.9299,39.6144,55.17,65,73,4.97
235,Danane,CI,2021-07-23 01:12:29,7.2596,-8.155,70.3,99,100,3.06
236,Salinas,US,2021-07-23 01:12:29,36.6777,-121.6555,83.05,73,75,14.97
237,La Mana,EC,2021-07-23 01:12:30,-0.9333,-79.2167,79.9,88,20,4.56
238,Ulagan,RU,2021-07-23 01:12:30,50.6321,87.9563,63.91,73,100,1.07
239,Havoysund,NO,2021-07-23 01:12:30,70.9963,24.6622,43.68,79,100,19.91
240,Crisan,RO,2021-07-23 01:12:31,44.9667,29.4667,61.39,71,0,7.94
241,Kyzyl-Suu,KG,2021-07-23 01:12:31,42.3414,78.0056,63.3,48,0,3.44
242,Lebu,CL,2021-07-23 01:12:31,-37.6167,-73.65,50.0,86,100,6.93
243,Cabo San Lucas,MX,2021-07-23 01:12:32,22.8909,-109.9124,98.51,51,1,9.22
244,Verdun,FR,2021-07-23 01:12:32,49.25,5.3333,64.2,93,0,4.34
245,Bauta,CU,2021-07-23 01:12:32,22.9828,-82.5464,80.49,78,6,9.22
246,Tabas,IR,2021-07-23 01:12:33,33.5959,56.9244,87.87,14,1,4.05
247,Haines Junction,CA,2021-07-23 01:12:33,60.7522,-137.5108,63.95,47,13,9.48
248,Vanimo,PG,2021-07-23 01:12:33,-2.6741,141.3028,82.08,82,88,4.23
249,Muros,ES,2021-07-23 01:12:34,42.7762,-9.0603,64.99,90,99,5.01
250,Dhidhdhoo,MV,2021-07-23 01:12:34,6.8833,73.1,82.92,76,100,19.35
251,Peniche,PT,2021-07-23 01:12:35,39.3558,-9.3811,66.61,87,97,3.74
252,Marfino,RU,2021-07-23 01:12:35,55.7028,37.3822,57.87,76,0,6.71
253,Inuvik,CA,2021-07-23 01:12:35,68.3499,-133.7218,66.63,48,63,17.76
254,Biak,ID,2021-07-23 01:12:36,-0.9131,122.8766,76.89,84,89,5.68
255,Jasper,US,2021-07-23 01:12:36,37.2001,-94.3502,83.14,71,1,0.0
256,Tual,ID,2021-07-23 01:12:36,-5.6667,132.75,75.99,93,100,10.96
257,Garissa,KE,2021-07-23 01:12:37,-0.4536,39.6401,72.37,81,50,14.83
258,Grand Gaube,MU,2021-07-23 01:12:37,-20.0064,57.6608,70.38,72,15,4.0
259,Kaitangata,NZ,2021-07-23 01:12:37,-46.2817,169.8464,51.93,52,13,5.08
260,Cervo,ES,2021-07-23 01:12:38,43.6702,-7.4101,64.2,92,100,2.95
261,Dingle,PH,2021-07-23 01:12:38,10.9995,122.6711,82.83,78,100,19.24
262,Conceicao Do Araguaia,BR,2021-07-23 01:12:38,-8.2578,-49.2647,75.76,43,0,4.16
263,Bogalusa,US,2021-07-23 01:12:39,30.791,-89.8487,86.74,79,1,3.44
264,Cacapava Do Sul,BR,2021-07-23 01:12:39,-30.5122,-53.4914,48.56,75,99,2.57
