City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
243,Puerto Santander,CO,8.3636,-72.4063,74.82,93,100,1.86,overcast clouds
244,Harper,LR,4.375,-7.7169,74.88,76,100,6.58,overcast clouds
245,Kungurtug,RU,50.5994,97.5228,60.21,96,100,1.86,light rain
246,Kokuy,RU,52.2037,117.5529,70.57,61,69,9.71,broken clouds
247,Lensk,RU,60.7253,114.9278,78.04,41,4,6.6,clear sky
248,Krasnovishersk,RU,60.4078,57.082,57.92,67,36,8.9,scattered clouds
249,Mar Del Plata,AR,-38.0023,-57.5575,51.13,63,0,20.0,clear sky
250,Youghal,IE,51.95,-7.8506,65.55,91,71,9.06,broken clouds
251,Arlit,NE,18.7369,7.3853,83.88,52,87,17.16,overcast clouds
252,Kitui,KE,-1.367,38.0106,56.97,93,29,5.21,scattered clouds
253,Sorong,ID,-0.8833,131.25,79.65,77,100,14.43,moderate rain
254,Kota Belud,MY,6.351,116.4305,87.66,53,77,9.89,moderate rain
255,Kohlu,PK,29.8962,69.252,85.19,37,21,2.21,few clouds
256,Lata,PT,40.1629,-8.3327,60.82,98,45,2.53,scattered clouds
257,Asosa,ET,10.0667,34.5333,58.71,98,100,2.44,light rain
258,San Pedro,PH,14.35,121.0167,79.16,94,90,9.22,moderate rain
259,Saquisili,EC,-0.8333,-78.6667,47.52,94,75,1.01,broken clouds
260,Salalah,OM,17.0151,54.0924,77.09,100,90,10.36,light intensity drizzle
261,Lorengau,PG,-2.0226,147.2712,83.93,79,93,9.82,overcast clouds
262,Kawalu,ID,-7.3817,108.2082,76.75,84,69,3.74,broken clouds
263,Kayerkan,RU,69.3497,87.7602,66.04,82,100,22.88,overcast clouds
264,San Jeronimo,PE,-11.9472,-75.2829,45.63,76,3,2.42,clear sky
265,Batemans Bay,AU,-35.7167,150.1833,61.92,51,79,12.37,broken clouds
266,Samfya,ZM,-11.3649,29.5565,63.01,66,94,10.96,overcast clouds
267,Kaitangata,NZ,-46.2817,169.8464,54.93,53,14,5.64,few clouds
268,Batagay,RU,67.6333,134.6333,76.77,32,94,2.68,overcast clouds
269,Khash,IR,28.2211,61.2158,80.94,31,9,2.86,clear sky
270,Trapani,IT,37.8333,12.6667,77.27,88,0,4.61,clear sky
271,Noumea,NC,-22.2763,166.4572,82.38,99,0,9.46,clear sky
